Library,BarCode,Category,Read
SLX-9169,D706_D503,Unmapped,10222360
SLX-9169,D706_D504,Unmapped,10340194
SLX-9169,D706_D505,Unmapped,11232733
SLX-9169,D706_D506,Unmapped,8265546
SLX-9169,D706_D507,Unmapped,9415069
SLX-9169,D706_D508,Unmapped,7683332
SLX-9169,D708_D501,Unmapped,6398773
SLX-9169,D708_D502,Unmapped,7044126
SLX-9169,D709_D501,Unmapped,6366599
SLX-9169,D709_D502,Unmapped,5618828
SLX-9169,D709_D503,Unmapped,6116234
SLX-9169,D709_D504,Unmapped,5402171
SLX-9169,D709_D505,Unmapped,5983185
SLX-9169,D709_D506,Unmapped,5199002
SLX-9169,D709_D507,Unmapped,5905874
SLX-9169,D709_D508,Unmapped,5061424
SLX-9169,D710_D501,Unmapped,6560015
SLX-9169,D710_D502,Unmapped,5943913
SLX-9169,D710_D503,Unmapped,6237718
SLX-9169,D710_D504,Unmapped,5730550
SLX-9169,D710_D505,Unmapped,5757428
SLX-9169,D710_D506,Unmapped,5708368
SLX-9169,D710_D507,Unmapped,5731163
SLX-9169,D710_D508,Unmapped,5006934
SLX-9169,D711_D501,Unmapped,6180162
SLX-9169,D711_D502,Unmapped,5729202
SLX-9169,D711_D503,Unmapped,5350170
SLX-9169,D711_D504,Unmapped,5283950
SLX-9169,D711_D505,Unmapped,5219763
SLX-9169,D711_D506,Unmapped,5454226
SLX-9169,D711_D507,Unmapped,6143379
SLX-9169,D711_D508,Unmapped,4577416
SLX-9169,D712_D501,Unmapped,6032691
SLX-9169,D712_D502,Unmapped,5624639
SLX-9169,D712_D503,Unmapped,7047633
SLX-9169,D712_D504,Unmapped,5669567
SLX-9169,D712_D505,Unmapped,7581862
SLX-9169,D712_D506,Unmapped,6143495
SLX-9169,D712_D507,Unmapped,6169961
SLX-9169,D712_D508,Unmapped,5751337
SLX-10281,D701_D501,Mapped,64461957
SLX-10281,D701_D502,Mapped,63626389
SLX-10281,D701_D503,Mapped,49895040
SLX-10281,D701_D504,Mapped,56189829
SLX-10281,D701_D505,Mapped,62160281
SLX-10281,D701_D506,Mapped,42582972
SLX-10281,D701_D507,Mapped,61570534
SLX-10281,D701_D508,Mapped,54754130
SLX-10281,D702_D501,Mapped,43480757
SLX-10281,D702_D502,Mapped,56950236
SLX-10281,D702_D505,Mapped,59108799
SLX-10281,D702_D506,Mapped,63742618
SLX-10281,D702_D507,Mapped,52217025
SLX-10281,D702_D508,Mapped,90589765
SLX-10281,D711_D501,Mapped,104034264
SLX-10281,D711_D502,Mapped,78057711
SLX-10281,D711_D503,Mapped,58604949
SLX-10281,D711_D504,Mapped,69215217
SLX-10281,D711_D505,Mapped,60994598
SLX-10281,D711_D506,Mapped,71805187
SLX-10281,D712_D501,Mapped,70225281
